Chromosome	 Peak-Start	 Peak-End	 Chromosome	 Gene-Start	 Gene-End	 Gene-ID	 Gene-Name	 Distance-of-Gene-to-Nearest-Peak
1	16245	16460	1	13863	29806	ENSG00000227232.4	WASH7P	0
1	724248	724308	1	714150	745940	ENSG00000237491.4	RP11-206L10.9	0
1	726518	726702	1	714150	745940	ENSG00000237491.4	RP11-206L10.9	0
1	754170	757718	1	752751	755714	ENSG00000177757.1	FAM87B	0
1	766612	768115	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	768587	769714	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	776580	776681	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	776793	776918	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	776931	777214	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	778227	778690	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	783002	783228	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	783521	783866	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	787449	787661	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	789642	791114	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	824922	825245	1	818043	820483	ENSG00000269308.1	AL645608.2	4440
1	825742	825992	1	818043	820483	ENSG00000269308.1	AL645608.2	5260
1	872600	872646	1	860260	880455	ENSG00000187634.6	SAMD11	0
1	873069	902761	1	860260	880455	ENSG00000187634.6	SAMD11	0
1	949890	950017	1	948803	950420	ENSG00000187608.5	ISG15	0
1	950706	952187	1	948803	950420	ENSG00000187608.5	ISG15	287
1	952395	998050	1	955503	991996	ENSG00000188157.9	AGRN	0
1	1025799	1026213	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1030402	1033166	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1034321	1036997	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1038579	1039266	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1039884	1040151	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1041406	1041977	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1043449	1043554	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1044095	1049794	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1145722	1174950	1	1146206	1149518	ENSG00000186827.6	TNFRSF4	0
1	1180731	1215324	1	1177326	1182102	ENSG00000184163.3	FAM132A	0
1	1227990	1289623	1	1227256	1244989	ENSG00000131584.14	ACAP3	0
1	1289969	1290079	1	1287569	1297157	ENSG00000162576.12	MXRA8	0
1	1306544	1309859	1	1308610	1310875	ENSG00000175756.9	AURKAIP1	0
1	1310092	1310596	1	1308610	1310875	ENSG00000175756.9	AURKAIP1	0
1	1311514	1312774	1	1308610	1310875	ENSG00000175756.9	AURKAIP1	640
1	1315264	1346638	1	1320591	1334708	ENSG00000221978.7	CCNL2	0
1	1405240	1436361	1	1385069	1406038	ENSG00000215915.5	ATAD3C	0
1	1445556	1515048	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1549064	1549793	1	1548638	1551175	ENSG00000272106.1	RP11-345P4.9	0
1	1552124	1554486	1	1550795	1566490	ENSG00000197530.8	MIB2	0
1	1572117	1572738	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1581100	1581334	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1581640	1584469	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1585005	1586179	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1586483	1586951	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1587044	1587061	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
